language,license,rightsHolder,datasetID,institutionCode,datasetName,taxonID,acceptedNameUsageID,originalNameUsageID,scientificName,acceptedNameUsage,originalNameUsage,kingdom,phylum,class,order,family,genus,nomenclaturalCode,taxonomicStatus
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:d472da65d16db2cf6cc13a318a4346b7,alien-mollusca-checklist:taxon:81d4efabef9ab3e384dfe016ee69d01f,,"Lamellaxis clavulinus (Potiez & Michaud, 1835)","Allopeas clavulinum (Potiez & Michaud, 1835)",,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Subulinidae P. Fischer & Crosse, 1877","Allopeas H. B. Baker, 1935",ICZN,synonym
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:08a2ae149a669973dd983c39eca37fc2,alien-mollusca-checklist:taxon:7ecbd23986aa59aefd50154ef9f4fd1e,alien-mollusca-checklist:taxon:08a2ae149a669973dd983c39eca37fc2,"Limax valentianus A. Férussac, 1822","Ambigolimax valentianus (A. Férussac, 1822)","Limax valentianus A. Férussac, 1822",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Limacidae Lamarck, 1801","Ambigolimax Pollonera, 1887",ICZN,synonym
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:4ec6eb9f0d1c719931b55939d0ac694f,alien-mollusca-checklist:taxon:7ecbd23986aa59aefd50154ef9f4fd1e,alien-mollusca-checklist:taxon:08a2ae149a669973dd983c39eca37fc2,"Limax poirieri J. Mabille, 1883","Ambigolimax valentianus (A. Férussac, 1822)","Limax valentianus A. Férussac, 1822",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Limacidae Lamarck, 1801","Ambigolimax Pollonera, 1887",ICZN,synonym
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:f3140770bdaf2eca3061639dbd310be9,alien-mollusca-checklist:taxon:7ecbd23986aa59aefd50154ef9f4fd1e,alien-mollusca-checklist:taxon:08a2ae149a669973dd983c39eca37fc2,"Lehmannia valentiana (A. Férussac, 1822)","Ambigolimax valentianus (A. Férussac, 1822)","Limax valentianus A. Férussac, 1822",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Limacidae Lamarck, 1801","Ambigolimax Pollonera, 1887",ICZN,synonym
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:b62ab2f7373a3493fd82efa83ce1775e,alien-mollusca-checklist:taxon:a4f4c57a54f834761b99b164aeb118b8,,"Arion collominiato Torres Mínguez, 1925","Arion vulgaris Moquin-Tandon, 1855",,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Arionidae Gray, 1840","Arion A. Férussac, 1819",ICZN,synonym
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:00bac09342b1bedfc7efb0e8c4864baa,alien-mollusca-checklist:taxon:a4f4c57a54f834761b99b164aeb118b8,,"Arion fulvipes Torres Mínguez, 1925","Arion vulgaris Moquin-Tandon, 1855",,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Arionidae Gray, 1840","Arion A. Férussac, 1819",ICZN,synonym
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:eb74db236706452e1dcdac4c254364e9,alien-mollusca-checklist:taxon:a4f4c57a54f834761b99b164aeb118b8,,"Arion limbata R.T. Lowe, 1855","Arion vulgaris Moquin-Tandon, 1855",,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Arionidae Gray, 1840","Arion A. Férussac, 1819",ICZN,synonym
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:1c7d83107736d2448f42a68d289861d8,alien-mollusca-checklist:taxon:a4f4c57a54f834761b99b164aeb118b8,,"Arion lusitanicus auctorum, non Mabille, 1868","Arion vulgaris Moquin-Tandon, 1855",,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Arionidae Gray, 1840","Arion A. Férussac, 1819",ICZN,synonym
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:1b51eef841787501b15f30fef14b8d24,alien-mollusca-checklist:taxon:a4f4c57a54f834761b99b164aeb118b8,,"Arion nigrachlamydae Torres Mínguez, 1925","Arion vulgaris Moquin-Tandon, 1855",,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Arionidae Gray, 1840","Arion A. Férussac, 1819",ICZN,synonym
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:07f4e29722da037dc5f33d5215c2b20f,alien-mollusca-checklist:taxon:a4f4c57a54f834761b99b164aeb118b8,,"Arion nuriae Torres Mínguez, 1925","Arion vulgaris Moquin-Tandon, 1855",,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Arionidae Gray, 1840","Arion A. Férussac, 1819",ICZN,synonym
