scientific_name,synonym,X3,X4
"Testacella haliotidea Draparnaud, 1806","Testacella pascali Massot, 1870",Testacella,"pascali Massot, 1870"
"Testacella haliotidea Draparnaud, 1807","Testacella servaini Massot, 1870",Testacella,"servaini Massot, 1870"
"Theba pisana (O.F. Müller, 1774)","Theba albella Linnaeus, 1758",Theba,"albella Linnaeus, 1758"
"Theba pisana (O.F. Müller, 1774)","Theba altispira Paiva, 1867",Theba,"altispira Paiva, 1867"
"Theba pisana (O.F. Müller, 1774)","Theba aegusina Monterosato, 1892",Theba,"aegusina Monterosato, 1892"
"Theba pisana (O.F. Müller, 1774)","Theba byzantina Roth, 1839",Theba,"byzantina Roth, 1839"
"Theba pisana (O.F. Müller, 1774)","Theba calcarea L. Pfeiffer,1849",Theba,"calcarea L. Pfeiffer,1849"
"Theba pisana (O.F. Müller, 1774)","Theba grandis T. Cockerell, 1921",Theba,"grandis T. Cockerell, 1921"
"Theba pisana (O.F. Müller, 1774)","Theba guardiae S.H.F. Jaeckel, 1952",Theba,"guardiae S.H.F. Jaeckel, 1952"
"Theba pisana (O.F. Müller, 1774)","Theba petholata Olivi, 1792",Theba,"petholata Olivi, 1792"
"Theba pisana (O.F. Müller, 1774)","Theba rosalba Monterosato, 1892",Theba,"rosalba Monterosato, 1892"
"Theba pisana (O.F. Müller, 1774)","Theba sertum Monterosato, 1892",Theba,"sertum Monterosato, 1892"
"Theba pisana (O.F. Müller, 1774)","Theba spirolineata Monterosato, 1892",Theba,"spirolineata Monterosato, 1892"
"Theba pisana (O.F. Müller, 1774)","Theba subconica Monterosato, 1892",Theba,"subconica Monterosato, 1892"
"Theba pisana (O.F. Müller, 1774)","Theba taylori T. Cockerell, 1922",Theba,"taylori T. Cockerell, 1922"
"Trochoidea elegans (Gmelin, 1791)","Trochoidea scitula De Cristofori & Jan, 1832",Trochoidea,"scitula De Cristofori & Jan, 1832"
"Zebrina detrita (O.F. Müller, 1774)","Zebrina cilicicus Kobelt, 1901",Zebrina,"cilicicus Kobelt, 1901"
"Zebrina detrita (O.F. Müller, 1774)","Zebrina inflatus Kobelt, 1877",Zebrina,"inflatus Kobelt, 1877"
"Zebrina detrita (O.F. Müller, 1774)","Zebrina radiatus Bruguière, 1789",Zebrina,"radiatus Bruguière, 1789"
"Zebrina detrita (O.F. Müller, 1774)","Zebrina sallake Fehér & Erőss, 2009",Zebrina,"sallake Fehér & Erőss, 2009"
"Zebrina detrita (O.F. Müller, 1774)","Zebrina sepium Gmelin, 1791",Zebrina,"sepium Gmelin, 1791"
"Zebrina detrita (O.F. Müller, 1774)","Zebrina tumidus Mousson, 1859",Zebrina,"tumidus Mousson, 1859"
"Zonitoides arboreus (Say, 1817)","Zonitoides azoricus Riedel, 1964",Zonitoides,"azoricus Riedel, 1964"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
